time_since_fade_in (s), phase_, amp (rad), freq (Hz), policy_output.at(motor_idx), policy_output.at(motor_idx) * params_.action_scales.at(motor_idx) (rad), motor_position (rad), motor_velocity (rad/s)
0.00103417, 0.0524362, 0, 1, 0, 0, 0.0252514, -0.174606
0.00326797, 0.0937781, 0, 1, 0, 0, 0.0248699, -0.14286
0.00932478, 0.148032, 0, 1, 0, 0, 0.0229625, -0.238098
0.0131615, 0.201266, 0, 1, 0, 0, 0.0210552, -0.428574
0.0175538, 0.256965, 0, 1, 0, 0, 0.0191478, -0.428574
0.0192727, 0.298327, 0, 1, 0, 0, 0.0180034, -0.365082
0.024961, 0.350297, 0, 1, 0, 0, 0.0153331, -0.46032
0.0281011, 0.396892, 0, 1, 0, 0, 0.0130443, -0.587303
0.0337091, 0.453532, 0, 1, 0, 0, 0.0115184, -0.523811
0.0378082, 0.510834, 0, 1, 0, 0, 0.00961109, -0.428574
0.0392724, 0.552189, 0, 1, 0, 0, 0.00808426, -0.396828
0.046499, 0.613835, 0, 1, 0, 0, 0.00541397, -0.492065
0.0481152, 0.660201, 0, 1, 0, 0, 0.00426956, -0.492065
0.0535728, 0.716601, 0, 1, 0, 0, 0.00350662, -0.238098
0.057411, 0.771375, 0, 1, 0, 0, 0.00388809, -0.0476227
0.0592698, 0.812729, 0, 1, 0, 0, 0.00426956, 0.111115
0.0658246, 0.870172, 0, 1, 0, 0, 0.00465103, 0.14286
0.068031, 0.916188, 0, 1, 0, 0, 0.0050325, 0.111115
0.0729359, 0.968038, 0, 1, 0, 0, 0.0050325, 0.0476227
0.0772099, 1.02149, 0, 1, 0, 0, 0.00465103, -0.0158768
0.080937, 1.07331, 0, 1, 0, 0, 0.00426956, -0.0476227
0.0832659, 1.11463, 0, 1, 0, 0, 0.00426956, -0.0476227
0.0914218, 1.18206, 0, 1, 0, 0, 0.00426956, -0.0158768
0.0921266, 1.2342, 0, 1, 0, 0, 0.00426956, 0.0158768
0.0971868, 1.27679, 0, 1, 0, 0, 0.00426956, 0.0158768
0.100941, 1.32863, 0, 1, 0, 0, 0.00426956, 0.0158768
0.103266, 1.36995, 0, 1, 0, 0, 0.00426956, 0.0158768
0.110649, 1.43252, 0, 1, 0, 0, 0.00426956, 0.0158768
0.111362, 1.475, 0, 1, 0, 0, 0.00426956, 0.0158768
0.117417, 1.52877, 0, 1, 0, 0, 0.00426956, 0.0158768
0.119283, 1.57016, 0, 1, 0, 0, 0.00426956, 0.0158768
0.126537, 1.63204, 0, 1, 0, 0, 0.00426956, 0.0158768
0.128126, 1.67863, 0, 1, 0, 0, 0.00426956, 0.0158768
0.133956, 1.73714, 0, 1, 0, 0, 0.00426956, 0.0158768
0.1366, 1.78682, 0, 1, 0, 0, 0.00426956, 0.0158768
0.13927, 1.82818, 0, 1, 0, 0, 0.00426956, 0.0158768
0.145374, 1.88275, 0, 1, 0, 0, 0.00426956, 0.0158768
0.148018, 1.9288, 0, 1, 0, 0, 0.00426956, 0.0158768
0.153546, 1.98445, 0, 1, 0, 0, 0.00426956, 0.0158768
0.157123, 2.03744, 0, 1, 0, 0, 0.00426956, 0.0158768
0.161153, 2.09062, 0, 1, 0, 0, 0.00426956, 0.0158768
0.163277, 2.13204, 0, 1, 0, 0, 0.00426956, 0.0158768
0.169308, 2.18615, 0, 1, 0, 0, 0.00426956, 0.0158768
0.173301, 2.24026, 0, 1, 0, 0, 0.00426956, 0.0158768
0.177285, 2.29427, 0, 1, 0, 0, 0.00426956, 0.0158768
0.180997, 2.34642, 0, 1, 0, 0, 0.00426956, 0.0158768
0.183275, 2.38781, 0, 1, 0, 0, 0.00426956, 0.0158768
0.188904, 2.43939, 0, 1, 0, 0, 0.00388809, -0.0158768
0.193055, 2.49196, 0, 1, 0, 0, 0.00388809, -0.0158768
0.196299, 2.53977, 0, 1, 0, 0, 0.00388809, 0.0158768
0.199273, 2.58114, 0, 1, 0, 0, 0.00388809, 0.0158768
0.206953, 2.64563, 0, 1, 0, 0, 0.00388809, 0.0158768
0.207663, 2.69192, 0, 1, 0, 0, 0.00388809, 0.0158768
0.214654, 2.74961, 0, 1, 0, 0, 0.00388809, 0.0158768
0.215373, 2.79216, 0, 1, 0, 0, 0.00388809, 0.0158768
0.221495, 2.84633, 0, 1, 0, 0, 0.00388809, 0.0158768
0.223265, 2.88764, 0, 1, 0, 0, 0.00388809, 0.0158768
0.228044, 2.93385, 0, 1, 0, 0, 0.00388809, 0.0158768
